GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
84245;651.1369552;0.190267878;0.351895558;0.540694173;0.588718396;0.999950567
28974;485.9503047;-0.569040872;0.322853074;-1.762538186;0.077978411;0.999950567
65249;90.71824686;-0.099509409;0.552672675;-0.180051255;0.85711233;0.999950567
284454;74.07026354;0.088786466;0.476641912;0.186274986;0.852229122;0.999950567
79173;53.49461371;0.716265018;0.606224037;1.18151867;0.237396741;0.999950567
54862;627.0014244;-0.005506166;0.509974384;-0.010796946;0.991385451;0.999950567
79883;21.65746213;0.427051817;0.487368536;0.876240021;0.380899564;0.999950567
90379;306.8188737;-0.474064653;0.488257053;-0.970932524;0.331581881;0.999950567
5989;164.3985254;0.027986614;0.486887941;0.057480607;0.954162354;0.999950567
9466;456.3654764;-0.282935589;0.850207216;-0.332784272;0.739297132;0.999950567
342979;13.27613971;-1.372267717;0.708421998;-1.93707666;0.052735973;0.999950567
113230;114.5890292;-0.127422843;0.530592194;-0.240152126;0.810212326;0.999950567
646457;11.65113098;-0.058621347;0.645748552;-0.090780454;0.927667041;0.999950567
90378;184.4006316;-0.718049998;0.608742966;-1.179561882;0.238174511;0.999950567
5566;228.4990188;-0.018323472;0.419455799;-0.043683916;0.96515636;0.999950567
55723;215.9048442;-1.233817457;0.783642196;-1.574465314;0.115379914;0.999950567
100507373;42.20871414;0.481103808;0.473949377;1.01509535;0.310060378;0.999950567
22859;439.6107298;0.274732486;0.448063546;0.613155182;0.539773736;0.999950567
976;1495.446783;-0.041787352;0.389983299;-0.107151646;0.914668676;0.999950567
10212;1167.983833;-0.285764432;0.343366826;-0.832242403;0.405272134;0.999950567
5585;797.6973759;-1.009613453;0.611414028;-1.651276232;0.098682183;0.999950567
5731;7.867711504;-0.574723225;1.396335006;-0.411594082;0.68063697;0.999950567
10755;989.7388469;0.982592949;0.644325312;1.52499511;0.127260317;0.999950567
3337;1362.600483;-0.003616923;0.351837149;-0.010280104;0.991797808;0.999950567
9524;315.179037;-0.627548123;0.715630063;-0.876916937;0.380531756;0.999950567
4713;1192.12062;-0.106950179;0.418690279;-0.255439842;0.798383401;0.999950567
388512;352.3583773;-0.921859126;1.184800998;-0.778070855;0.436527243;0.999950567
84658;60.20765768;-0.213215428;0.581873784;-0.366428998;0.714044985;0.999950567
84449;262.1581077;0.164731797;0.378272337;0.43548465;0.663210678;0.999950567
30817;178.7839252;0.126021568;0.482368359;0.261255875;0.793895191;0.999950567
85360;71.86322858;-0.597653949;0.629211464;-0.949845932;0.342190543;0.999950567
10994;1557.080213;0.247058904;0.471455937;0.524033922;0.600254946;0.999950567
4854;301.3918764;-0.575177738;0.770309908;-0.746683552;0.455254601;0.999950567
23476;798.4633438;0.041619938;0.475698027;0.08749235;0.930280166;0.999950567
10270;791.9803485;0.129558606;0.241263332;0.537000815;0.591267051;0.999950567
26993;724.3114582;0.036890894;0.312409048;0.118085229;0.906000127;0.999950567
58525;252.4052958;-0.463371609;0.553511127;-0.837149582;0.402508493;0.999950567
64926;567.1414359;-0.925318276;0.845491721;-1.094414355;0.273773291;0.999950567
114770;6.088967306;0.752106132;1.040631373;0.722740206;0.469839509;0.999950567
126410;3.572776087;-2.742038391;1.222497179;-2.242981365;0.024898016;0.999950567
4051;311.3709614;-0.778779805;0.556902262;-1.398413793;0.161988843;0.999950567
66002;1835.937066;-0.382786035;0.553377019;-0.69172738;0.489108549;0.999950567
388514;18.66503454;-0.052577527;1.308090199;-0.040194114;0.96793837;0.999950567
652995;5.039628507;0.040846466;0.890501301;0.045869069;0.963414607;0.999950567
7171;3860.645129;0.375897209;0.268319475;1.40093152;0.161234552;0.999950567
4218;1585.936296;-0.381096328;0.440191331;-0.865751552;0.386626423;0.999950567
84941;559.9480107;-0.7344432;0.631828983;-1.162408214;0.245069688;0.999950567
26017;2037.192272;0.026992298;0.517983958;0.052110297;0.958440808;0.999950567
8907;485.7588634;-0.503966863;0.3413384;-1.476443502;0.139824872;0.999950567
10365;68.5002524;0.072159961;0.918371681;0.078573809;0.937371621;0.999950567
58513;234.9777063;0.265861578;0.503894579;0.52761349;0.597767628;0.999950567
84167;48.55592771;0.080299631;0.561004449;0.143135462;0.886183199;0.999950567
10523;159.8325552;-0.133621753;0.574021407;-0.232781828;0.815930824;0.999950567
79939;775.1990948;-0.19672242;0.385075602;-0.510867007;0.609444185;0.999950567
9441;164.1357544;-0.204948082;0.416223203;-0.492399463;0.622436979;0.999950567
79086;1049.71277;0.213050642;0.345871069;0.615982835;0.537905849;0.999950567
79041;49.61799201;0.413482739;0.487880839;0.847507642;0.396712229;0.999950567
284434;14.63145744;0.731815182;0.625776247;1.169451838;0.242221635;0.999950567
23309;564.4838587;-0.29211714;0.559107394;-0.522470536;0.601342756;0.999950567
9002;68.32929502;0.177311024;0.722063471;0.245561548;0.806021658;0.999950567
27151;28.30947382;-0.248766552;0.779630446;-0.319082655;0.749663836;0.999950567
93323;164.3712265;-0.414551821;0.335539182;-1.235479621;0.216652057;0.999950567
